ID,firstName,middleName,lastName,generationalSuffix,primaryNumber,preDirectional,street,streetSuffix,postDirectional,unitDesignator,secondaryNumber,city,state,zipCode,zipExtension,phone,email,latitude,longitude,ip
28,MELINA,ZONA,MICHEL,,,,,,,,,,,,,,MELINAMICHEL376@ACXIOM.COM,,,
29,ELISHEVA,G,KEEFE,,211,,LAKE OF THE,FRST,,,,BASEHOR,KS,66012,9548,,,,,24.124.73.0
30,ELISHEVA,G,KEEFE,,5519,,SEAVIEW,ST,,,,RUSTON,WA,98407,,,,,,
31,ELISHEVA,G,KEEFE,,,,,,,,,,,,,9175101645,,,,
32,KHIRY,N,CORNELL,,1617,E,MCDANIEL,ST,,,,REPUBLIC,MO,65802,3155,,,,,50.80.58.0
33,KHIRY,N,CORNELL,,217,S,4TH,ST,,,,ELWOOD,MO,64501,2109,,,,,
34,BARRON,GEARY,CORNELL,,1617,E,MCDANIEL,ST,,,,REPUBLIC,MO,65802,3155,,,,,
35,BARRON,GEARY,CORNELL,,259,,RUSSELL,ST,,,,MANCHESTER,NH,3104,3328,,,,,
36,BARRON,GEARY,CORNELL,,,,,,,,,,,,,,BARRONCORNELL636@ACXIOM.COM,,,
37,GISELA,MARGE,CORNELL,,1617,E,MCDANIEL,ST,,,,REPUBLIC,MO,65802,3155,,,,,
38,GISELA,MARGE,CORNELL,,41,,CALUMET,RD,,,,JEFFERSONVILLE,KY,40207,1505,,,,,
39,GISELA,MARGE,CORNELL,,,,,,,,,,,,,5013426388,,,,
40,GISELA,MARGE,CORNELL,,,,,,,,,,,,,,GISELACORNELL999@ACXIOM.COM,,,
41,KAMALA,B,RENNER,,485,,HARDMAN,AVE,S,,,INVER GROVE HEIGHTS,MN,55075,,,,,,
42,KAMALA,B,RENNER,,,,,,,,,,,,,5013422868,,,,
43,CLETA,A,WALTON,,11232,S,EMERALD,AVE,,,,CALUMET PARK,IL,60628,4707,,,,,
44,CLETA,A,WALTON,,,,,,,,,,,,,,CLETAWALTON141@ACXIOM.COM,,,
45,EZELL,Q,DOUGLASS,,8744,,COUNTRY VIEW,AVE,,,,LAS VEGAS,NV,89129,7602,,,,,
46,EZELL,Q,DOUGLASS,,1819,N,900,,E,,,AMERICAN FORK,UT,84043,3057,,,,,
47,EZELL,Q,DOUGLASS,,503,W,7TH,ST,,,,BALTIC,SD,57022,2116,,,,,
48,EZELL,Q,DOUGLASS,,,,,,,,,,,,,6503566284,,,,
49,MARITA,SHONDA,PFEIFFER,,10626,,COURTNEY,RD,,,,GLEN ALLEN,VA,23060,2503,,,,,
50,MARITA,SHONDA,PFEIFFER,,41743,,TIMBER,CIR,,,,ALTAMONT,OR,97601,,,,,,
51,MARITA,SHONDA,PFEIFFER,,,,,,,,,,,,,5013426402,,,,
52,MARITA,SHONDA,PFEIFFER,,,,,,,,,,,,,9175106563,,,,
53,MARITA,SHONDA,PFEIFFER,,,,,,,,,,,,,,MARITAPFEIFFER912@ACXIOM.COM,,,
54,KRYSTIN,J,PFEIFFER,,10626,,COURTNEY,RD,,,,GLEN ALLEN,VA,23060,2503,,,,,
55,KRYSTIN,J,PFEIFFER,,201,,PACOLET,DR,,,,TRYON,SC,29356,1322,,,,,
56,KRYSTIN,J,PFEIFFER,,501,W,7TH,ST,,,,WILMINGTON,DE,19801,2123,,,,,
57,KRYSTIN,J,PFEIFFER,,,,,,,,,,,,,,KRYSTINPFEIFFER280@ACXIOM.COM,,,
58,CLEMENT,M,PFEIFFER,,10626,,COURTNEY,RD,,,,GLEN ALLEN,VA,23060,2503,,,,,
59,JANINE,V,PFEIFFER,,10626,,COURTNEY,RD,,,,GLEN ALLEN,VA,23060,2503,,,,,
60,JANINE,V,PFEIFFER,,3101,,BDWK 1808-2,,,,,ABSECON,NJ,8401,,,,,,
61,JANINE,V,PFEIFFER,,,,,,,,,,,,,,JANINEPFEIFFER204@ACXIOM.COM,,,
62,JARRAD,,PFEIFFER,,10626,,COURTNEY,RD,,,,GLEN ALLEN,VA,23060,2503,,,,,
63,JARRAD,,PFEIFFER,,,,,,,,,,,,,,JARRADPFEIFFER917@ACXIOM.COM,,,
64,TONEY,V,MAJOR,,4740,,CHATFORD,AVE,,,,BALTIMORE,MD,21206,6865,,,,,
65,TONEY,V,MAJOR,,,,,,,,,,,,,,TONEYMAJOR652@ACXIOM.COM,,,
66,TONEY,V,MAJOR,,,,,,,,,,,,,,TONEYMAJOR518@ACXIOM.COM,,,
67,EMALYN,HARLOW,MAJOR,,4740,,CHATFORD,AVE,,,,BALTIMORE,MD,21206,6865,,,,,
68,EMALYN,HARLOW,MAJOR,,A,,,,,,,CLINTON,SC,29325,,,,,,
69,EMALYN,HARLOW,MAJOR,,39,W,SALISBURY,ST,,,,CHARLTON,MD,21795,1022,,,,,
70,EMALYN,HARLOW,MAJOR,,,,,,,,,,,,,,EMALYNMAJOR289@ACXIOM.COM,,,
71,RETHA,R,MAJOR,,4740,,CHATFORD,AVE,,,,BALTIMORE,MD,21206,6865,,,,,
72,RETHA,R,MAJOR,,1005,,LYONS,ST,,,,MOBILE,AL,36603,,,,,,
73,RETHA,R,MAJOR,,,,,,,,,,,,,6503561498,,,,
74,OSSIE,,MAJOR,,4740,,CHATFORD,AVE,,,,BALTIMORE,MD,21206,6865,,,,,
75,OSSIE,,MAJOR,,610,,WESTMONT,DR,,,,HOCKESSIN,DE,19808,1537,,,,,
76,OSSIE,,MAJOR,,4488,,BRIDLEWOOD,LN,,,,BATAVIA,OH,45103,1439,,,,,
77,OSSIE,,MAJOR,,,,,,,,,,,,,,OSSIEMAJOR760@ACXIOM.COM,,,
78,OSSIE,,MAJOR,,,,,,,,,,,,,,OSSIEMAJOR472@ACXIOM.COM,,,
79,HAYLI,B,MAJOR,,4740,,CHATFORD,AVE,,,,BALTIMORE,MD,21206,6865,,,,,
80,HAYLI,B,MAJOR,,815,E,3RD,ST,,,,CROWLEY,LA,70526,5305,,,,,
81,HAYLI,B,MAJOR,,15888,,34TH,ST,S,,,AFTON,MN,55001,7101,,,,,
82,HAYLI,B,MAJOR,,,,,,,,,,,,,,HAYLIMAJOR528@ACXIOM.COM,,,
83,HAYLI,B,MAJOR,,,,,,,,,,,,,,HAYLIMAJOR627@ACXIOM.COM,,,
84,ALESHA,TARI,COLLIER,,19,S,MAIN,ST,,,,BOSTON,MA,2025,1852,,,,,
85,ALESHA,TARI,COLLIER,,,,,,,,,,,,,5013429253,,,,
86,ILYAS,M,COLLIER,,19,S,MAIN,ST,,,,BOSTON,MA,2025,1852,,,,,
87,ILYAS,M,COLLIER,,39854,,HIGHWAY 23,,,,,MOOREFIELD,NE,69039,5111,,,,,
88,ILYAS,M,COLLIER,,,,,,,,,,,,,9175106252,,,,
89,ILYAS,M,COLLIER,,,,,,,,,,,,,5012529385,,,,
90,ILYAS,M,COLLIER,,,,,,,,,,,,,,ILYASCOLLIER988@ACXIOM.COM,,,
91,DRAVEN,Q,HUTCHINSON,,127,,FAIRHAVEN,RD,,,,WORCESTER,MA,1606,3115,,,,,
92,DRAVEN,Q,HUTCHINSON,,,,,,,,,,,,,6503568448,,,,
93,YECENIA,B,HUTCHINSON,,127,,FAIRHAVEN,RD,,,,WORCESTER,MA,1606,3115,,,,,
94,YECENIA,B,HUTCHINSON,,6001,E,SKYLINE,DR,,,,CAREFREE,AZ,85331,8531,,,,,
95,YECENIA,B,HUTCHINSON,,3053,W,STONEBRIDGE,DR,,,,ANCHORAGE,AK,99654,9446,,,,,
96,JERMAINE,K,HUTCHINSON,,127,,FAIRHAVEN,RD,,,,WORCESTER,MA,1606,3115,,,,,
97,JERMAINE,K,HUTCHINSON,,8886,S,ROCKY CREEK,DR,,,,COPPERTON,UT,84081,3310,,,,,
98,JERMAINE,K,HUTCHINSON,,,,,,,,,,,,,,JERMAINEHUTCHINSON620@ACXIOM.COM,,,
99,NYLA,T,HUTCHINSON,,127,,FAIRHAVEN,RD,,,,WORCESTER,MA,1606,3115,,,,,
100,NYLA,T,HUTCHINSON,,627,,MOUNTAIN VIEW,DR,,,,DUBOIS,WY,82513,,,,,,
101,NYLA,T,HUTCHINSON,,,,,,,,,,,,,5013428660,,,,
102,NYLA,T,HUTCHINSON,,,,,,,,,,,,,,NYLAHUTCHINSON499@ACXIOM.COM,,,
103,DINA,V,HUTCHINSON,,127,,FAIRHAVEN,RD,,,,WORCESTER,MA,1606,3115,,,,,
104,DINA,V,HUTCHINSON,,264,,HARRINGTON,AVE,,,,CEDAR LAKE,IN,46307,3804,,,,,
105,DINA,V,HUTCHINSON,,,,,,,,,,,,,5013423746,,,,
106,DINA,V,HUTCHINSON,,,,,,,,,,,,,6503567708,,,,
107,DINA,V,HUTCHINSON,,,,,,,,,,,,,,DINAHUTCHINSON304@ACXIOM.COM,,,
108,KRYSTLE,X,SHAH,,6410,,RIVINGTON,RD,,,,BURKE,VA,22152,2912,,,,,
109,KRYSTLE,X,SHAH,,,,,,,,,,,,,5012523949,,,,
110,KRYSTLE,X,SHAH,,,,,,,,,,,,,5013420692,,,,
111,KRYSTLE,X,SHAH,,,,,,,,,,,,,,KRYSTLESHAH948@ACXIOM.COM,,,
112,KRYSTLE,X,SHAH,,,,,,,,,,,,,,KRYSTLESHAH605@ACXIOM.COM,,,
113,EVANS,W,ABEL,,3155,S,ERTIS,AVE,,,,BATTLEFIELD,MO,65807,4250,,,,,
114,EVANS,W,ABEL,,316,,THOMAS,RD,,,,CREOLA,AL,36572,2726,,,,,
115,EVANS,W,ABEL,,,,,,,,,,,,,9175105741,,,,
116,EVANS,W,ABEL,,,,,,,,,,,,,,EVANSABEL876@ACXIOM.COM,,,
117,ZEUS,L,TERRELL,,75,W,PEARL,ST,,,,HOBACK,WY,83001,,,,,,
118,ZEUS,L,TERRELL,,19713,,FLEETWOOD,DR,,,,DETROIT,MI,48225,1667,,,,,
119,ZEUS,L,TERRELL,,,,,,,,,,,,,,ZEUSTERRELL247@ACXIOM.COM,,,
120,DENITA,F,TERRELL,,75,W,PEARL,ST,,,,HOBACK,WY,83001,,,,,,
121,DENITA,F,TERRELL,,20,,DUNN CEMETARY,RD,,,,BROOKHAVEN,WV,26508,5240,,,,,
122,DENITA,F,TERRELL,,,,,,,,,,,,,5013426208,,,,
123,ABRIELLA,V,TOLEDO,,712,E,PRYOR,CIR,,,,BILLINGS,MT,59044,,,,,,
124,ABRIELLA,V,TOLEDO,,32060,,LITTLE MANTRAP,DR,,,,LAKE GEORGE,MN,56470,,,,,,
125,ABRIELLA,V,TOLEDO,,1615,,WINDSOR,DR,,,,ALLOUEZ,WI,54302,5719,,,,,
126,ABRIELLA,V,TOLEDO,,,,,,,,,,,,,9175109750,,,,
127,ABRIELLA,V,TOLEDO,,,,,,,,,,,,,,ABRIELLATOLEDO138@ACXIOM.COM,,,
128,ABRIELLA,V,TOLEDO,,,,,,,,,,,,,,ABRIELLATOLEDO417@ACXIOM.COM,,,
129,NIAMH,R,TOLEDO,,712,E,PRYOR,CIR,,,,BILLINGS,MT,59044,,,,,,
130,NIAMH,R,TOLEDO,,,,,,,,,,,,,,NIAMHTOLEDO625@ACXIOM.COM,,,
131,NIAMH,R,TOLEDO,,,,,,,,,,,,,,NIAMHTOLEDO387@ACXIOM.COM,,,
132,DEKLAN,O,SANDS,,31807,S,535,RD,,,,DRY CREEK,OK,74427,2024,,,,,
133,DEKLAN,O,SANDS,,15,,SHELTER ROCK,RD,,,,MOODUS,CT,6423,,,,,,
134,DEKLAN,O,SANDS,,105,,ISAAC,CT,,,,BERRYVILLE,VA,22611,1274,,,,,
135,DEKLAN,O,SANDS,,,,,,,,,,,,,5013429444,,,,
136,DEKLAN,O,SANDS,,,,,,,,,,,,,,DEKLANSANDS653@ACXIOM.COM,,,
137,DEKLAN,O,SANDS,,,,,,,,,,,,,,DEKLANSANDS694@ACXIOM.COM,,,
138,NIKOLAI,Z,CARLOS,,221,,ELSIE,ST,,,,SAN FRANCISCO,CA,94110,5507,,,,,
139,NIKOLAI,Z,CARLOS,,,,,,,,,,,,,6503569510,,,,
140,NIKOLAI,Z,CARLOS,,,,,,,,,,,,,,NIKOLAICARLOS871@ACXIOM.COM,,,
141,NIKOLAI,Z,CARLOS,,,,,,,,,,,,,,NIKOLAICARLOS377@ACXIOM.COM,,,
142,CORBIN,P,CARLOS,,221,,ELSIE,ST,,,,SAN FRANCISCO,CA,94110,5507,,,,,
143,CORBIN,P,CARLOS,,902,,43RD,AVE,N,,,MOORHEAD,ND,58102,5319,,,,,
144,CORBIN,P,CARLOS,,171,,EMDEN,DR,,,,BOULDER CITY,NV,89015,5638,,,,,
145,CORBIN,P,CARLOS,,,,,,,,,,,,,,CORBINCARLOS807@ACXIOM.COM,,,
146,JERAMIE,,CABALLERO,,5424,S,850,,E,,,LAYTON,UT,84405,7002,,,,,
147,JERAMIE,,CABALLERO,,20968,E,ALATNA,RD,,,,ANCHORAGE,AK,99623,,,,,,
148,JERAMIE,,CABALLERO,,,,,,,,,,,,,9175103750,,,,
149,JERAMIE,,CABALLERO,,,,,,,,,,,,,,JERAMIECABALLERO867@ACXIOM.COM,,,
150,JERAMIE,,CABALLERO,,,,,,,,,,,,,,JERAMIECABALLERO518@ACXIOM.COM,,,
151,JAIR,L,POTTER,,6372,,33,,,,,GREENVILLE,NC,27837,,,,,,
152,JAIR,L,POTTER,,3802,,TRITON,AVE,,,,ANTELOPE VALLEY-CRESTVIEW,WY,82718,4702,,,,,
153,JAIR,L,POTTER,,107,,SOUTHEND,DR,,,,CARSON CITY,NV,89403,7406,,,,,
154,JAIR,L,POTTER,,,,,,,,,,,,,6503562323,,,,
155,JAIR,L,POTTER,,,,,,,,,,,,,5013421427,,,,
156,MIHIR,R,POTTER,,6372,,33,,,,,GREENVILLE,NC,27837,,,,,,
157,MIHIR,R,POTTER,,1407,,GARDEN,AVE,,,,JANESVILLE,IA,50677,9120,,,,,
158,MIHIR,R,POTTER,,,,,,,,,,,,,,MIHIRPOTTER713@ACXIOM.COM,,,
159,MIHIR,R,POTTER,,,,,,,,,,,,,,MIHIRPOTTER767@ACXIOM.COM,,,
160,KALEB,,POTTER,,6372,,33,,,,,GREENVILLE,NC,27837,,,,,,
161,KALEB,,POTTER,,1113,,JIMSON,CIR,SE,,,CONYERS,GA,30013,2055,,,,,
162,OLIN,Q,POTTER,,6372,,33,,,,,GREENVILLE,NC,27837,,,,,,
163,OLIN,Q,POTTER,,4654,,DABNEY VIGOR,DR,,,,CHARLOTTE,NC,28209,2838,,,,,
164,MATTHIAS,M,NEW,,1003,,1ST,AVE,,,,CEDARBURG,WI,53024,1701,,,,,
165,MATTHIAS,M,NEW,,29,,HUNTINGTON,AVE,,,,MANCHESTER,NH,3109,4104,,,,,
166,MATTHIAS,M,NEW,,215,,WAUKEE,AVE,,,,CLIVE,IA,50263,9775,,,,,
167,MATTHIAS,M,NEW,,,,,,,,,,,,,9175109509,,,,
168,PIERSON,C,NEW,,1003,,1ST,AVE,,,,CEDARBURG,WI,53024,1701,,,,,
169,PIERSON,C,NEW,,24318,S,SUNBROOK,DR,,,,CASA BLANCA,AZ,85248,6262,,,,,
170,PIERSON,C,NEW,,,,,,,,,,,,,9175103022,,,,
171,PIERSON,C,NEW,,,,,,,,,,,,,,PIERSONNEW885@ACXIOM.COM,,,
172,GERALDINE,U,NEW,,1003,,1ST,AVE,,,,CEDARBURG,WI,53024,1701,,,,,
173,GERALDINE,U,NEW,,,,,,,,,,,,,9175107696,,,,
174,GERALDINE,U,NEW,,,,,,,,,,,,,,GERALDINENEW808@ACXIOM.COM,,,
175,ALFRED,A,SWAN,IV,66,,MARINE,AVE,,,,CRANSTON,RI,2888,4508,,,,,
176,ALFRED,A,SWAN,IV,119,,TRAVERSE,ST,,,,ELK RAPIDS,MI,49629,,,,,,
177,ALFRED,A,SWAN,IV,1619,,COUNTY ROAD 86,,,,,ECRU,MS,38652,9494,,,,,
178,ALFRED,A,SWAN,IV,,,,,,,,,,,,5013423345,,,,
179,ALFRED,A,SWAN,IV,,,,,,,,,,,,5012526442,,,,
180,ALFRED,A,SWAN,IV,,,,,,,,,,,,,ALFREDSWAN692@ACXIOM.COM,,,
181,DIMITRI,LAURENCE,SWAN,,66,,MARINE,AVE,,,,CRANSTON,RI,2888,4508,,,,,
182,DIMITRI,LAURENCE,SWAN,,321,,WILLOW,LOOP,,,,CIBOLO,TX,78108,4298,,,,,
183,DIMITRI,LAURENCE,SWAN,,,,,,,,,,,,,5013424525,,,,
184,DIMITRI,LAURENCE,SWAN,,,,,,,,,,,,,,DIMITRISWAN625@ACXIOM.COM,,,
185,KIZZIE,V,HAGER,,5419,,8TH,ST,NW,,,WASHINGTON,DC,20011,7717,,,,,
186,KIZZIE,V,HAGER,,40,,SPRINGFIELD,CT,,,,CRESTWOOD,MO,63122,3101,,,,,
187,KIZZIE,V,HAGER,,,,,,,,,,,,,,KIZZIEHAGER238@ACXIOM.COM,,,
188,JOVANY,U,HAGER,,5419,,8TH,ST,NW,,,WASHINGTON,DC,20011,7717,,,,,
189,JOVANY,U,HAGER,,116,E,LEIGHTON,ST,,,,ANDERSON,SD,57005,2516,,,,,
190,TRUMAN,S,BURNETTE,,5021,N,KINGSHIGHWAY,BLVD,,,,JENNINGS,MO,63115,1831,,,,,
191,TRUMAN,S,BURNETTE,,2350,,80TH,ST,NE,,,BARTON,ND,58384,9215,,,,,
192,TRUMAN,S,BURNETTE,,,,,,,,,,,,,9175107420,,,,
193,GIAVANNA,H,BURNETTE,,5021,N,KINGSHIGHWAY,BLVD,,,,JENNINGS,MO,63115,1831,,,,,
194,GIAVANNA,H,BURNETTE,,507,,JOHN,ST,,,,BLISS CORNER,MA,2740,1455,,,,,
195,GIAVANNA,H,BURNETTE,,,,,,,,,,,,,9175107717,,,,
196,MAYBELL,NATALY,BURNETTE,,5021,N,KINGSHIGHWAY,BLVD,,,,JENNINGS,MO,63115,1831,,,,,
197,MAYBELL,NATALY,BURNETTE,,1452,N,LIBERTY,AVE,,,,FARR WEST,UT,84404,3308,,,,,
198,MAYBELL,NATALY,BURNETTE,,732,,CRESCENT,RD,,,,PARK CITY,UT,84060,,,,,,
199,HARRY,P,BURNETTE,,5021,N,KINGSHIGHWAY,BLVD,,,,JENNINGS,MO,63115,1831,,,,,
200,HARRY,P,BURNETTE,,731,,HIGH,ST,,,,RAWLINS,WY,82301,4753,,,,,
201,HARRY,P,BURNETTE,,10,,BRANDY,LN,,,,CONCORD,NH,3301,6140,,,,,
202,HARRY,P,BURNETTE,,,,,,,,,,,,,9175107694,,,,
203,HARRY,P,BURNETTE,,,,,,,,,,,,,,HARRYBURNETTE360@ACXIOM.COM,,,
204,NAIMA,M,BURNETTE,,5021,N,KINGSHIGHWAY,BLVD,,,,JENNINGS,MO,63115,1831,,,,,
205,NAIMA,M,BURNETTE,,,,,,,,,,,,,9175102176,,,,
206,NAIMA,M,BURNETTE,,,,,,,,,,,,,,NAIMABURNETTE952@ACXIOM.COM,,,
207,JENINE,M,MCALLISTER,,1910,,TURRENTINE,DR,,,,FAIRACRES,NM,88005,3347,,,,,
208,JENINE,M,MCALLISTER,,,,,,,,,,,,,5012526908,,,,
209,JENINE,M,MCALLISTER,,,,,,,,,,,,,,JENINEMCALLISTER884@ACXIOM.COM,,,
210,LORIANN,ROSALBA,MCALLISTER,,1910,,TURRENTINE,DR,,,,FAIRACRES,NM,88005,3347,,,,,
211,LORIANN,ROSALBA,MCALLISTER,,,,,,,,,,,,,6309643935,,,,
212,LORIANN,ROSALBA,MCALLISTER,,,,,,,,,,,,,,LORIANNMCALLISTER773@ACXIOM.COM,,,
213,CARLY,P,MCALLISTER,,1910,,TURRENTINE,DR,,,,FAIRACRES,NM,88005,3347,,,,,
214,CARLY,P,MCALLISTER,,73,,STARRETT,RD,,,,LYNN,MA,1905,1457,,,,,
215,CARLY,P,MCALLISTER,,,,,,,,,,,,,,CARLYMCALLISTER454@ACXIOM.COM,,,
216,EUSEBIO,A,MCALLISTER,III,1910,,TURRENTINE,DR,,,,FAIRACRES,NM,88005,3347,,,,,
217,EUSEBIO,A,MCALLISTER,III,15556,,GREENWOOD,AVE,N,,,EDMONDS,WA,98133,5912,,,,,
218,EUSEBIO,A,MCALLISTER,III,328,,FAY,AVE,,,,SAN ANTONIO,TX,78211,1828,,,,,
219,EUSEBIO,A,MCALLISTER,III,,,,,,,,,,,,,EUSEBIOMCALLISTER367@ACXIOM.COM,,,
220,EUSEBIO,A,MCALLISTER,III,,,,,,,,,,,,,EUSEBIOMCALLISTER995@ACXIOM.COM,,,
221,KINSLEY,T,MCALLISTER,,1910,,TURRENTINE,DR,,,,FAIRACRES,NM,88005,3347,,,,,
222,KINSLEY,T,MCALLISTER,,1303,S,JAMESTOWN,AVE,,,,TULSA,OK,74112,5833,,,,,
223,KINSLEY,T,MCALLISTER,,94-1074,,PAAWALU,ST,,APT,P4,MILILANI TOWN,HI,96797,4278,,,,,
224,KINSLEY,T,MCALLISTER,,,,,,,,,,,,,,KINSLEYMCALLISTER940@ACXIOM.COM,,,
225,ABELARDO,M,RIDER,III,2133,S,SILVERPINE,CT,,,,ANDERSON,SD,57110,8803,,,,,
226,ABELARDO,M,RIDER,III,897,W,POINTE,DR,,,,ASHEVILLE,NC,28806,8100,,,,,
227,ABELARDO,M,RIDER,III,,,,,,,,,,,,6503568928,,,,
228,ABELARDO,M,RIDER,III,,,,,,,,,,,,,ABELARDORIDER365@ACXIOM.COM,,,
229,LAINEY,REGENA,MEDEIROS,,28827,,483RD,AVE,,,,CANTON,SD,57013,,,,,,
230,LAINEY,REGENA,MEDEIROS,,3007,,PROMENADE,CT,,,,BLUE CLAY FARMS,NC,28405,2111,,,,,
231,LAINEY,REGENA,MEDEIROS,,,,,,,,,,,,,5012529397,,,,
232,LAINEY,REGENA,MEDEIROS,,,,,,,,,,,,,,LAINEYMEDEIROS587@ACXIOM.COM,,,
233,JACKY,G,MEDEIROS,SR,28827,,483RD,AVE,,,,CANTON,SD,57013,,,,,,
234,JACKY,G,MEDEIROS,SR,2213,,BUTLER,DR,,,,BANGOR,CA,95901,6571,,,,,
235,JACKY,G,MEDEIROS,SR,,,,,,,,,,,,6503564673,,,,
236,JACKY,G,MEDEIROS,SR,,,,,,,,,,,,,JACKYMEDEIROS299@ACXIOM.COM,,,
237,KIMANI,,MEDEIROS,,28827,,483RD,AVE,,,,CANTON,SD,57013,,,,,,
238,KIMANI,,MEDEIROS,,15400,,BASSETT,LN,,#,46-3D,ASHTON-SANDY SPRING,MD,20906,1468,,,,,
239,KIMANI,,MEDEIROS,,,,,,,,,,,,,9175101916,,,,
240,KIMANI,,MEDEIROS,,,,,,,,,,,,,,KIMANIMEDEIROS597@ACXIOM.COM,,,
241,KIMANI,,MEDEIROS,,,,,,,,,,,,,,KIMANIMEDEIROS306@ACXIOM.COM,,,
242,WILLA,GRACELYNN,MEDEIROS,,28827,,483RD,AVE,,,,CANTON,SD,57013,,,,,,
243,WILLA,GRACELYNN,MEDEIROS,,1701,,STEWART,RD,,,,LITTLE ROCK,AR,72223,9527,,,,,
244,WILLA,GRACELYNN,MEDEIROS,,19715,,GREENSTONE,RD,,,,EAGLE LAKE,MN,56001,7331,,,,,
245,WILLA,GRACELYNN,MEDEIROS,,,,,,,,,,,,,,WILLAMEDEIROS168@ACXIOM.COM,,,
246,RENATO,L,HALVERSON,,44,,HAPPY VALLEY,RD,,,,GRINDSTONE,PA,15473,1226,,,,,
247,RENATO,L,HALVERSON,,4735,,WIDNER,CT,,,,COLUMBUS,OH,43220,3156,,,,,
248,RENATO,L,HALVERSON,,913,,9TH,AVE,S,,,BLACK EAGLE,MT,59405,2141,,,,,
249,RENATO,L,HALVERSON,,,,,,,,,,,,,6503563152,,,,
250,RENATO,L,HALVERSON,,,,,,,,,,,,,,RENATOHALVERSON991@ACXIOM.COM,,,
251,NATOSHA,O,HALVERSON,,44,,HAPPY VALLEY,RD,,,,GRINDSTONE,PA,15473,1226,,,,,
252,NATOSHA,O,HALVERSON,,5433,,BIXBY,RD,,,,BLACKLICK ESTATES,OH,43110,9193,,,,,
253,NATOSHA,O,HALVERSON,,1395,,NIAGARA,AVE,,,,AKRON,OH,44305,2772,,,,,
254,JORDI,RUSSEL,HALVERSON,,44,,HAPPY VALLEY,RD,,,,GRINDSTONE,PA,15473,1226,,,,,
255,JORDI,RUSSEL,HALVERSON,,,,,,,,,,,,,9175108281,,,,
256,TERRENCE,R,ELKINS,,865,,PINE TREE,RD,,,,BETHLEHEM,NC,28681,8073,,,,,
257,TERRENCE,R,ELKINS,,755,,FIVE MILE SQ,RD,,,,ISLAND POND,VT,5846,9624,,,,,
258,TERRENCE,R,ELKINS,,,,,,,,,,,,,5013421838,,,,
